City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lima,-12.0432,-77.0282,79.05200000000008,57,0,8.23,PE,2023-04-22 13:05:49
84,oujda-angad,34.6805,-1.9076,68.63000000000005,43,40,7.2,MA,2023-04-22 13:07:03
85,rongelap,11.1635,166.8941,80.72600000000008,79,99,8.95,MH,2023-04-22 13:07:04
86,borovskoy,53.8,64.15,51.63800000000005,53,100,6.92,KZ,2023-04-22 13:07:04
87,dudinka,69.4058,86.1778,32.57600000000009,98,100,4.78,RU,2023-04-22 13:07:05
88,qaqortoq,60.7167,-46.0333,38.13800000000005,69,40,1.47,GL,2023-04-22 13:07:05
89,udachny,66.4167,112.4,14.57600000000009,96,100,2.22,RU,2023-04-22 13:07:05
90,atafu village,-8.5421,-172.5159,83.76800000000009,75,36,4.23,TK,2023-04-22 13:07:06
91,bratsk,56.1325,101.6142,27.08600000000007,96,85,2.06,RU,2023-04-22 13:07:06
92,ushuaia,-54.8,-68.3,51.458000000000006,54,75,7.2,AR,2023-04-22 13:06:37
93,uturoa,-16.7333,-151.4333,81.15800000000002,79,100,5.12,PF,2023-04-22 13:06:45
94,bilibino,68.0546,166.4372,16.214000000000034,73,57,1.8,RU,2023-04-22 13:07:07
95,constantia,44.1833,28.65,50.684,77,29,3.74,RO,2023-04-22 13:07:07
96,saipan,15.1355,145.701,81.30200000000008,100,40,7.2,MP,2023-04-22 13:07:07
97,westport,41.1415,-73.3579,69.09800000000003,76,100,3.58,US,2023-04-22 13:07:08
98,labrador city,52.9463,-66.9114,35.94199999999999,95,100,3.42,CA,2023-04-22 13:07:08
99,port mathurin,-19.6833,63.4167,79.32200000000003,79,40,9.1,MU,2023-04-22 13:07:08
100,al fuwayliq,26.4432,43.2534,80.07800000000006,28,11,0.5,SA,2023-04-22 13:07:09
101,kolonia town,6.964,158.206,77.0,88,75,0.0,FM,2023-04-22 13:07:09
102,edinburgh of the seven seas,-37.0676,-12.3116,59.97200000000004,63,5,12.24,SH,2023-04-22 13:07:09
103,nikolayevsk-on-amure,53.1406,140.73,29.138000000000044,97,100,2.98,RU,2023-04-22 13:07:09
104,shakawe,-18.3667,21.85,77.0,38,95,1.8,BW,2023-04-22 13:07:10
105,port elizabeth,-33.918,25.5701,60.314000000000036,74,100,2.01,ZA,2023-04-22 13:07:10
106,cooper's town,26.8667,-77.5167,75.14600000000004,73,69,3.95,BS,2023-04-22 13:07:10
107,grand-bassam,5.2118,-3.7388,85.96400000000003,81,100,4.01,CI,2023-04-22 13:07:11
108,amga,60.8953,131.9608,6.872000000000035,100,74,1.07,RU,2023-04-22 13:07:11
109,kununurra,-15.7667,128.7333,82.38200000000002,36,0,6.17,AU,2023-04-22 13:07:11
110,toliara,-23.35,43.6667,73.49000000000002,85,52,3.53,MG,2023-04-22 13:07:11
111,severo-yeniseyskiy,60.3725,93.0408,16.628000000000064,96,82,1.74,RU,2023-04-22 13:07:12
112,iqaluit,63.7506,-68.5145,31.73000000000004,93,100,5.66,CA,2023-04-22 13:06:24
113,griffith,41.5284,-87.4237,44.312000000000054,69,100,8.23,US,2023-04-22 13:07:12
114,bredasdorp,-34.5322,20.0403,57.61400000000003,77,100,2.54,ZA,2023-04-22 13:07:13
115,sao miguel do araguaia,-13.275,-50.1628,84.21800000000009,67,71,1.79,BR,2023-04-22 13:07:13
116,chonchi,-42.6128,-73.8092,63.12200000000004,58,11,0.31,CL,2023-04-22 13:07:14
117,georgetown,5.4112,100.3354,82.32800000000006,83,20,0.0,MY,2023-04-22 13:06:41
118,moirang,24.5,93.7667,69.15200000000007,61,99,1.45,IN,2023-04-22 13:07:14
119,hithadhoo,-0.6,73.0833,83.78600000000007,72,55,0.76,MV,2023-04-22 13:06:44
120,kapa'a,22.0752,-159.319,76.1,90,75,2.68,US,2023-04-22 13:07:15
121,schongau,47.8167,10.9,64.958,42,96,3.6,DE,2023-04-22 13:07:15
122,norrtalje,59.758,18.705,59.18000000000004,62,15,3.6,SE,2023-04-22 13:07:15
123,bairnsdale,-37.8333,147.6167,58.04600000000005,89,97,1.84,AU,2023-04-22 13:07:16
124,beyneu,45.3167,55.2,64.292,43,40,5.86,KZ,2023-04-22 13:07:16
125,fort bragg,35.139,-79.006,72.5,79,75,3.09,US,2023-04-22 13:07:17
126,ketchikan,55.3422,-131.6461,46.38200000000002,81,100,5.66,US,2023-04-22 13:07:17
127,daru,-9.0763,143.2092,78.27800000000008,90,100,5.05,PG,2023-04-22 13:07:17
128,weno,7.4515,151.8468,80.54600000000005,89,75,0.0,FM,2023-04-22 13:07:18
129,lobujya,27.95,86.8167,3.812000000000058,50,73,1.78,NP,2023-04-22 13:07:18
130,sam roi yot,12.2708,99.872,80.42000000000007,80,8,2.97,TH,2023-04-22 13:07:18
131,robore,-18.3333,-59.75,87.458,41,0,1.62,BO,2023-04-22 13:07:18
132,mugia,43.1041,-9.2179,60.17000000000006,91,83,12.61,ES,2023-04-22 13:07:19
133,ribeira grande,38.5167,-28.7,64.79600000000005,88,75,6.69,PT,2023-04-22 13:07:19
134,kaa-khem,51.6833,94.7333,30.59600000000005,47,64,2.16,RU,2023-04-22 13:07:19
135,saidpur,25.7777,88.8917,81.28399999999999,43,88,2.71,BD,2023-04-22 13:07:19
136,coquimbo,-29.9533,-71.3436,60.530000000000044,82,100,4.12,CL,2023-04-22 13:07:20
137,bishkul,54.7803,69.1033,48.29000000000002,74,100,4.19,KZ,2023-04-22 13:07:20
138,condoto,5.0935,-76.6497,89.13200000000002,57,85,1.39,CO,2023-04-22 13:07:21
139,adrar,20.5022,-10.0711,86.0,16,48,4.87,MR,2023-04-22 13:07:21
140,poronaysk,49.2167,143.1167,29.930000000000042,77,24,3.66,RU,2023-04-22 13:07:21
141,invercargill,-46.4,168.35,53.024000000000015,82,84,0.89,NZ,2023-04-22 13:07:19
142,richards bay,-28.783,32.0377,70.05200000000008,91,94,2.27,ZA,2023-04-22 13:07:22
143,pitkyaranta,61.5734,31.4792,35.88800000000005,100,100,1.48,RU,2023-04-22 13:07:22
144,palikir - national government center,6.9248,158.1611,75.93800000000005,88,75,0.0,FM,2023-04-22 13:07:22
145,odienne,9.51,-7.5692,95.88200000000002,25,73,0.5,CI,2023-04-22 13:07:23
146,huarmey,-10.0681,-78.1522,81.57200000000003,69,23,4.62,PE,2023-04-22 13:07:23
147,nagqu,31.5,92.0,32.648000000000025,48,100,7.34,CN,2023-04-22 13:07:24
148,college,64.8569,-147.8028,25.591999999999995,57,75,10.8,US,2023-04-22 13:06:32
149,mount gambier,-37.8333,140.7667,54.30200000000008,92,76,0.73,AU,2023-04-22 13:07:24
150,ancud,-41.8697,-73.8203,56.84000000000002,66,1,2.33,CL,2023-04-22 13:07:24
151,sarmiento,-45.5882,-69.07,64.67000000000007,22,4,8.94,AR,2023-04-22 13:07:25
152,east london,-33.0153,27.9116,65.33600000000007,55,0,3.09,ZA,2023-04-22 13:06:36
153,ghanzi,-21.5667,21.7833,73.68800000000005,31,100,1.31,BW,2023-04-22 13:07:25
154,tobelo,1.7284,128.0095,79.23200000000003,83,42,1.45,ID,2023-04-22 13:07:25
155,walvis bay,-22.9575,14.5053,60.09800000000003,65,100,5.13,NA,2023-04-22 13:06:41
156,aljezur,37.3191,-8.8033,62.52800000000006,62,12,4.78,PT,2023-04-22 13:07:27
157,korla,41.7597,86.1469,57.00200000000008,33,95,4.8,CN,2023-04-22 13:07:27
158,francistown,-21.17,27.5079,77.82800000000006,31,83,2.6,BW,2023-04-22 13:07:27
159,chukhloma,58.7525,42.6825,45.21200000000006,67,66,1.96,RU,2023-04-22 13:07:28
160,puerto baquerizo moreno,-0.9,-89.6,81.59000000000003,83,40,4.12,EC,2023-04-22 13:07:24
161,punta arenas,-53.15,-70.9167,55.50800000000001,54,0,14.92,CL,2023-04-22 13:07:18
162,vanino,49.0869,140.2543,31.568000000000087,95,100,0.34,RU,2023-04-22 13:07:29
163,santa ana,33.7456,-117.8678,88.86200000000005,38,40,4.63,US,2023-04-22 13:03:54
164,pathein,16.7833,94.7333,81.48200000000003,80,2,2.84,MM,2023-04-22 13:07:29
165,zeya,53.75,127.2667,29.191999999999997,86,100,2.15,RU,2023-04-22 13:07:29
166,sinop,41.7711,34.8709,45.23000000000004,87,66,1.08,TR,2023-04-22 13:04:31
167,hasaki,35.7333,140.8333,48.21800000000009,55,86,6.45,JP,2023-04-22 13:07:30
168,aasiaat,68.7098,-52.8699,32.108000000000004,88,100,2.08,GL,2023-04-22 13:07:31
169,bardai,11.65,7.2333,90.62600000000009,24,66,2.58,NG,2023-04-22 13:07:31
170,longyearbyen,78.2186,15.6401,8.438000000000045,66,20,4.12,SJ,2023-04-22 13:07:31
171,ust-tsilma,65.441,52.1498,33.54800000000002,99,100,3.12,RU,2023-04-22 13:07:32
172,palangkaraya,-2.2,113.8333,75.16400000000004,97,100,1.05,ID,2023-04-22 13:07:32
173,korhogo,9.45,-5.6333,97.016,23,38,1.55,CI,2023-04-22 13:07:33
174,kizhinga,51.8462,109.9097,20.57000000000006,49,35,0.98,RU,2023-04-22 13:07:33
175,bonny,4.4522,7.1681,82.61600000000001,77,56,5.12,NG,2023-04-22 13:07:33
176,srikakulam,18.3,83.9,82.88600000000008,66,44,2.49,IN,2023-04-22 13:07:33
177,balkanabat,39.5108,54.3671,76.06400000000004,37,94,1.95,TM,2023-04-22 13:07:34
178,vilyuchinsk,52.9306,158.4028,30.218000000000085,96,100,2.78,RU,2023-04-22 13:07:34
179,sanctuary point,-35.1114,150.629,63.75200000000008,94,20,2.58,AU,2023-04-22 13:07:34
180,madalena,41.2162,-8.3345,63.464000000000034,67,7,4.41,PT,2023-04-22 13:07:35
181,west island,-12.1568,96.8225,80.58200000000002,89,100,5.66,CC,2023-04-22 13:07:34
182,mokolo,10.7398,13.8019,94.6760000000001,17,73,1.77,CM,2023-04-22 13:07:35
183,newman,37.3138,-121.0208,75.05600000000004,43,85,5.81,US,2023-04-22 13:07:35
184,lompoc,34.6391,-120.4579,78.78200000000001,71,81,8.05,US,2023-04-22 13:07:23
185,sao vicente,-23.9631,-46.3919,80.78000000000004,67,0,2.33,BR,2023-04-22 13:07:36
186,maumere,-8.6199,122.2111,77.73800000000006,79,84,0.31,ID,2023-04-22 13:07:36
187,nova sintra,14.8667,-24.7167,68.64800000000002,75,8,7.34,CV,2023-04-22 13:07:15
188,bam,29.106,58.357,81.19400000000007,17,69,2.39,IR,2023-04-22 13:07:36
189,ust-nera,64.5667,143.2,11.33600000000007,99,96,2.24,RU,2023-04-22 13:07:37
190,dunedin,-45.8742,170.5036,52.80800000000001,10,27,2.77,NZ,2023-04-22 13:07:37
191,port alfred,-33.5906,26.891,60.188000000000045,68,100,0.45,ZA,2023-04-22 13:07:22
192,pangody,65.85,74.4859,31.946000000000048,99,100,2.25,RU,2023-04-22 13:07:37
193,fort st. john,56.2499,-120.8529,44.978000000000065,53,100,2.56,CA,2023-04-22 13:07:38
194,yeniseysk,58.4497,92.1703,27.95,98,85,1.22,RU,2023-04-22 13:07:38
195,arti,56.4234,58.5328,43.214000000000034,93,100,3.33,RU,2023-04-22 13:07:38
196,izamal,20.9333,-89.0167,103.766,27,6,0.59,MX,2023-04-22 13:07:38
197,lutjenburg,54.2919,10.5895,67.82000000000006,77,94,6.09,DE,2023-04-22 13:07:38
198,tolanaro,-25.0319,46.9987,71.54600000000005,88,36,1.52,MG,2023-04-22 13:07:39
199,broken hill,-31.95,141.4333,58.53200000000002,58,0,4.2,AU,2023-04-22 13:07:39
200,kolonia,50.9333,6.95,59.95400000000005,82,20,5.14,DE,2023-04-22 13:07:39
201,utrik,11.2278,169.8474,80.61800000000008,77,80,8.85,MH,2023-04-22 13:07:39
202,mariental,-24.6333,17.9667,75.92000000000007,29,100,2.0,NA,2023-04-22 13:07:40
203,olonkinbyen,70.9221,-8.7187,26.09600000000005,60,40,5.62,SJ,2023-04-22 13:07:20
204,yarmouth,41.7057,-70.2286,57.95600000000003,77,100,5.66,US,2023-04-22 13:07:17
205,pisco,-13.7,-76.2167,82.45400000000006,61,13,10.29,PE,2023-04-22 13:04:41
206,devils lake,48.1128,-98.8651,35.708000000000006,60,0,7.2,US,2023-04-22 13:07:40
207,castillos,-34.1667,-53.8333,74.13800000000005,43,69,1.46,UY,2023-04-22 13:07:41
208,port macquarie,-31.4333,152.9167,59.900000000000006,79,65,2.81,AU,2023-04-22 13:07:41
209,isafjordur,66.0755,-23.124,35.708000000000006,59,11,2.87,IS,2023-04-22 13:07:28
210,jianshui,23.6363,102.8264,68.27000000000007,45,8,2.32,CN,2023-04-22 13:07:41
